client_name,primary_key,lobby_url,lobbying_firm,policy_areas,politicians_targeted,politicians_count,lobbying_period_start_date
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,115444,https://www.lobbying.ie/return/115444,Instinctif Partners Public Affairs Ireland,Health,Stephen Donnelly,1,2024-05-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,115450,https://www.lobbying.ie/return/115450,Instinctif Partners Public Affairs Ireland,Health,"Darragh O'Brien, Eamon Ryan, Simon Harris, Stephen Donnelly",4,2024-05-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,115442,https://www.lobbying.ie/return/115442,Instinctif Partners Public Affairs Ireland,Health,"Colm Burke, David Cullinane, Niall Redmond",3,2024-05-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,115419,https://www.lobbying.ie/return/115419,Instinctif Partners Public Affairs Ireland,Health,"Annie Hoey, Bernard Durkan, Cathal Crowe, Colm Burke, David Cullinane, Frances Black, Gino Kenny, Jennifer Carroll MacNeill, John Lahart, Lorraine Clifford-Lee, Louise O'Reilly, Martin Conway, Mary Butler, Muiris O’Connor, Neasa Hourigan, Niall Redmond, Ossian Smyth, Paschal Donohoe, Peter Burke, Róisín Shorthall, Seán Crowe, Seán Kyne",22,2024-05-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,115425,https://www.lobbying.ie/return/115425,Instinctif Partners Public Affairs Ireland,Health,Muiris O’Connor,1,2024-05-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,115431,https://www.lobbying.ie/return/115431,Instinctif Partners Public Affairs Ireland,Health,Niall Redmond,1,2024-05-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,115439,https://www.lobbying.ie/return/115439,Instinctif Partners Public Affairs Ireland,Health,Stephen Donnelly,1,2024-05-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,106085,https://www.lobbying.ie/return/106085,Instinctif Partners Public Affairs Ireland,Health,"Anne Rabbitte, Annie Hoey, Bernard Durkan, Cathal Crowe, Colm Burke, David Cullinane, David Moloney, Duncan Smith, Frances Black, Gino Kenny, Hildegarde Naughton, Jennifer Carroll MacNeill, John Hogan, John Lahart, Leo Varadkar, Martin Conway, Mary Butler, Michael McGrath, Micheál Martin, Muiris O’Connor, Neasa Hourigan, Ossian Smyth, Paschal Donohoe, Robert Watt, Róisín Shorthall, Seán Crowe, Seán Kyne, Stephen Donnelly",28,2023-09-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,106105,https://www.lobbying.ie/return/106105,Instinctif Partners Public Affairs Ireland,Health,Sean Kelly,1,2023-09-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,106093,https://www.lobbying.ie/return/106093,Instinctif Partners Public Affairs Ireland,Health,"Barry Andrews, Billy Kelleher, Chris MacManus, Ciarán Cuffe, Clare Daly, Colm Markey, Deirdre Clune, Frances Fitzgerald, Grace O'Sullivan, Luke Ming Flanagan, Maria Walsh, Mick Wallace, Sean Kelly, Stephen Donnelly",14,2023-09-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,102529,https://www.lobbying.ie/return/102529,Instinctif Partners Public Affairs Ireland,Health,"Deirdre Clune, Stephen Donnelly",2,2023-05-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,102531,https://www.lobbying.ie/return/102531,Instinctif Partners Public Affairs Ireland,Health,Deirdre Clune,1,2023-05-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,96874,https://www.lobbying.ie/return/96874,Instinctif Partners Public Affairs Ireland,Health,Stephen Donnelly,1,2023-01-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,96868,https://www.lobbying.ie/return/96868,Instinctif Partners Public Affairs Ireland,Health,"Muiris O’Connor, Niall Redmond, Robert Watt, Stephen Donnelly",4,2023-01-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,96855,https://www.lobbying.ie/return/96855,Instinctif Partners Public Affairs Ireland,Health,"Muiris O’Connor, Robert Watt, Stephen Donnelly",3,2023-01-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,96861,https://www.lobbying.ie/return/96861,Instinctif Partners Public Affairs Ireland,Health,"Muiris O’Connor, Robert Watt, Stephen Donnelly",3,2023-01-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,92349,https://www.lobbying.ie/return/92349,Instinctif Partners Public Affairs Ireland,Health,Colm Burke,1,2022-09-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,92358,https://www.lobbying.ie/return/92358,Instinctif Partners Public Affairs Ireland,Health,"Annie Hoey, Cathal Crowe, Colm Burke, Frances Black, Gino Kenny, John Lahart, Lorraine Clifford-Lee, Martin Conway, Neasa Hourigan, Róisín Shorthall, Seán Crowe, Seán Kyne",12,2022-09-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,92343,https://www.lobbying.ie/return/92343,Instinctif Partners Public Affairs Ireland,Health,"Muiris O’Connor, Robert Watt",2,2022-09-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,92362,https://www.lobbying.ie/return/92362,Instinctif Partners Public Affairs Ireland,Health,Duncan Smith,1,2022-09-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,92342,https://www.lobbying.ie/return/92342,Instinctif Partners Public Affairs Ireland,Health,"Anne Rabitte, Annie Hoey, Cathal Crowe, Colm Burke, Frances Black, Gino Kenny, John Lahart, Lorraine Clifford-Lee, Martin Conway, Mary Butler, Michael McGrath, Ossian Smyth, Paschal Donohoe, Róisín Shorthall, Seán Crowe, Seán Kyne, Stephen Donnelly",17,2022-09-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,88374,https://www.lobbying.ie/return/88374,Instinctif Partners Public Affairs Ireland,Health,Frank Feighan,1,2022-05-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,88381,https://www.lobbying.ie/return/88381,Instinctif Partners Public Affairs Ireland,Health,Denis Naughten,1,2022-05-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,88386,https://www.lobbying.ie/return/88386,Instinctif Partners Public Affairs Ireland,Health,Thomas Byrne,1,2022-05-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,84303,https://www.lobbying.ie/return/84303,Instinctif Partners Public Affairs Ireland,Health,Bernard Durkan,1,2022-01-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,77618,https://www.lobbying.ie/return/77618,Instinctif Partners Public Affairs Ireland,Health,"Fergal Goodman, Ronnie Downes",2,2021-09-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,76410,https://www.lobbying.ie/return/76410,Instinctif Partners Public Affairs Ireland,Health,Lisa Chambers,1,2021-05-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,76403,https://www.lobbying.ie/return/76403,Instinctif Partners Public Affairs Ireland,Health,"Fergal Goodman, Muiris O’Connor, Robert Watt, Ronnie Downes, Stephen Donnelly",5,2021-05-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,76411,https://www.lobbying.ie/return/76411,Instinctif Partners Public Affairs Ireland,Health,"Anne Rabbitte, Noel Byrne",2,2021-05-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,76406,https://www.lobbying.ie/return/76406,Instinctif Partners Public Affairs Ireland,Health,Catherine Ardagh,1,2021-05-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,71441,https://www.lobbying.ie/return/71441,Instinctif Partners Public Affairs Ireland,Health,"Anne Rabbitte, David Cullinane, Eamon Ryan, Frank Feighan, Jack Chambers, Leo Varadkar, Mary Butler, Michael McGrath, Micheál Martin, Paschal Donohoe, Seán Crowe, Simon Coveney, Stephen Donnelly",13,2021-01-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,71434,https://www.lobbying.ie/return/71434,Instinctif Partners Public Affairs Ireland,Health,"Muiris O’Connor, Stephen Donnelly",2,2021-01-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,71443,https://www.lobbying.ie/return/71443,Instinctif Partners Public Affairs Ireland,Health,Anne Rabbitte,1,2021-01-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,71438,https://www.lobbying.ie/return/71438,Instinctif Partners Public Affairs Ireland,Health,Louise O'Reilly,1,2021-01-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,71440,https://www.lobbying.ie/return/71440,Instinctif Partners Public Affairs Ireland,Health,"Muiris O’Connor, Robert Watt",2,2021-01-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,71437,https://www.lobbying.ie/return/71437,Instinctif Partners Public Affairs Ireland,Health,"Muiris O’Connor, Robert Watt",2,2021-01-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,66843,https://www.lobbying.ie/return/66843,Instinctif Partners Public Affairs Ireland,Health,"Annie Hoey, Bernard Durkan, Cathal Crowe, Colm Burke, David Cullinane, Frances Black, Gino Kenny, John Lahart, Lorraine Clifford-Lee, Martin Conway, Neasa Hourigan, Róisín Shorthall, Seán Crowe, Seán Kyne",14,2020-09-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,66834,https://www.lobbying.ie/return/66834,Instinctif Partners Public Affairs Ireland,Health,"Cathal Crowe, Colm Burke, David Cullinane, Seán Kyne",4,2020-09-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,63029,https://www.lobbying.ie/return/63029,Instinctif Partners Public Affairs Ireland,Health,"Fergal Goodman, Simon Harris",2,2020-05-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,61636,https://www.lobbying.ie/return/61636,Instinctif Partners Public Affairs Ireland,Health,Darren O'Rourke,1,2020-05-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,61779,https://www.lobbying.ie/return/61779,Instinctif Partners Public Affairs Ireland,EU Affairs,Fergal Goodman,1,2020-05-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,61646,https://www.lobbying.ie/return/61646,Instinctif Partners Public Affairs Ireland,Health,"Fergal Goodman, Jim Breslin, Stephen Donnelly",3,2020-05-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,61772,https://www.lobbying.ie/return/61772,Instinctif Partners Public Affairs Ireland,Health,"Alan Kelly, Brendan Howlin, Catherine Murphy, Darren O'Rourke, Eamon Ryan, Fergal Goodman, Heather Humphreys, Helen McEntee, Leo Varadkar, Louise O'Reilly, Mary Lou McDonald, Micheál Martin, Neale Richmond, Ossian Smyth, Pauline O'Reilly, Richard Boyd Barrett, Róisín Shorthall, Seán Crowe, Seán Haughey, Simon Coveney, Simon Harris, Stephen Donnelly",22,2020-05-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,61640,https://www.lobbying.ie/return/61640,Instinctif Partners Public Affairs Ireland,Health,Carol Nolan,1,2020-05-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,61649,https://www.lobbying.ie/return/61649,Instinctif Partners Public Affairs Ireland,Health,"Alan Kelly, Colm O’Reardon, David Cullinane, Derek Moran, Eamon Ryan, Fergal Goodman, Frank Feighan, Leo Varadkar, Martin Fraser, Mary Butler, Michael McGrath, Micheál Martin, Paschal Donohoe, Robert Watt, Róisín Shorthall, Stephen Donnelly, Susan Mitchell",17,2020-05-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,61645,https://www.lobbying.ie/return/61645,Instinctif Partners Public Affairs Ireland,EU Affairs,"David Cullinane, Frank Feighan, Mary Butler, Simon Coveney, Thomas Byrne",5,2020-05-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,61647,https://www.lobbying.ie/return/61647,Instinctif Partners Public Affairs Ireland,Health,Seán Crowe,1,2020-05-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,63036,https://www.lobbying.ie/return/63036,Instinctif Partners Public Affairs Ireland,Health,Erin McGreehan,1,2020-05-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,61637,https://www.lobbying.ie/return/61637,Instinctif Partners Public Affairs Ireland,Health,"Catherine Byrne, Finian McGrath, Jim Daly, Leo Varadkar, Simon Harris",5,2020-05-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,61641,https://www.lobbying.ie/return/61641,Instinctif Partners Public Affairs Ireland,Health,Helen McEntee,1,2020-05-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,61643,https://www.lobbying.ie/return/61643,Instinctif Partners Public Affairs Ireland,Health,"Fergal Goodman, Jim Breslin, Simon Harris",3,2020-05-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,61644,https://www.lobbying.ie/return/61644,Instinctif Partners Public Affairs Ireland,Health,Michael McNamara,1,2020-05-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,61642,https://www.lobbying.ie/return/61642,Instinctif Partners Public Affairs Ireland,Health,Stephen Donnelly,1,2020-05-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,59588,https://www.lobbying.ie/return/59588,Instinctif Partners Public Affairs Ireland,Health,"Fergal Goodman, Jim Breslin, Robert Watt",3,2020-01-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,59697,https://www.lobbying.ie/return/59697,Instinctif Partners Public Affairs Ireland,Health,"Aidan O'Driscoll, Charles Flanagan, Donnchadh Ó Laoghaire, Heather Humphreys, Jim Breslin, Jim O'Callaghan, Orlaigh Quinn, Roderic O'Gorman, Seán Sherlock, Simon Harris",10,2020-01-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,59648,https://www.lobbying.ie/return/59648,Instinctif Partners Public Affairs Ireland,Health,"Brendan Howlin, Catherine Murphy, Eamon Ryan, Leo Varadkar, Mary Lou McDonald, Micheál Martin, Richard Boyd Barrett, Róisín Shorthall, Shane Ross, Simon Coveney, Simon Harris",11,2020-01-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,59593,https://www.lobbying.ie/return/59593,Instinctif Partners Public Affairs Ireland,Health,Simon Harris,1,2020-01-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,59651,https://www.lobbying.ie/return/59651,Instinctif Partners Public Affairs Ireland,Health,"Brendan Howlin, Catherine Murphy, Eamon Ryan, Leo Varadkar, Mary Lou McDonald, Micheál Martin, Richard Boyd Barrett, Róisín Shorthall, Shane Ross, Simon Coveney, Simon Harris",11,2020-01-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,59664,https://www.lobbying.ie/return/59664,Instinctif Partners Public Affairs Ireland,Health,Róisín Shorthall,1,2020-01-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,59680,https://www.lobbying.ie/return/59680,Instinctif Partners Public Affairs Ireland,Health,"Graham Doyle, Imelda Munster, Joe O'Brien, Marc MacSharry, Shane Ross",5,2020-01-01T00:00:00.000000
ALLIED IRISH BANKS PUBLIC LIMITED COMPANY,22790,https://www.lobbying.ie/return/22790,KPMG,Banking and Financial Institutions,"John Hogan, Paschal Donohoe",2,2017-09-01T00:00:00.000000
ALNYLAM UK LIMITED,75634,https://www.lobbying.ie/return/75634,Hanover Media Strategy Limited,Health,Stephen Donnelly,1,2021-05-01T00:00:00.000000
ALNYLAM UK LIMITED,75371,https://www.lobbying.ie/return/75371,Hanover Media Strategy Limited,Health,"Bernard Durkan, Charlie McConalogue, Colm Burke, Fiona O'Loughlin, Martin Heydon, Padráig Mac Lochlainn, Patricia Ryan, Pádraig O'Sullivan, Stephen Donnelly",9,2021-05-01T00:00:00.000000
ALNYLAM UK LIMITED,73254,https://www.lobbying.ie/return/73254,Hanover Media Strategy Limited,Health,"Bernard Durkan, Charlie McConalogue, Colm Burke, Fiona O'Loughlin, John Lahart, Lorraine Clifford-Lee, Louise O'Reilly, Martin Conway, Martin Heydon, Padráig Mac Lochlainn, Patricia Ryan, Pádraig O'Sullivan, Seán Kyne, Seán Sherlock, Stephen Donnelly",15,2021-01-01T00:00:00.000000
ALNYLAM UK LIMITED,66130,https://www.lobbying.ie/return/66130,Hanover Media Strategy Limited,Health,"Bernard Durkan, Colm Burke, Darren O'Rourke, David Cullinane, Fiona O'Loughlin, James Lawless, John Lahart, Louise O'Reilly, Martin Heydon, Padráig Mac Lochlainn, Patricia Ryan, Pádraig O'Sullivan, Seán Sherlock, Stephen Donnelly",14,2020-09-01T00:00:00.000000
ALNYLAM UK LIMITED,61582,https://www.lobbying.ie/return/61582,Hanover Media Strategy Limited,Health,"Alan Kelly, Anne Rabbitte, Bernard Durkan, Colm Burke, David Cullinane, Fiona O'Loughlin, Frank Feighan, Lorraine Clifford-Lee, Martin Conway, Mary Butler, Padráig Mac Lochlainn, Pearse Doherty, Pádraig O'Sullivan, Rónán Mullen, Seán Crowe, Stephen Donnelly",16,2020-05-01T00:00:00.000000
ALNYLAM UK LIMITED,59629,https://www.lobbying.ie/return/59629,Hanover Media Strategy Limited,Health,"Bernard Durkan, Colm Burke, Darren O'Rourke, Louise O'Reilly, Michael Harty",5,2020-01-01T00:00:00.000000
ALONE,131683,https://www.lobbying.ie/return/131683,Limelight Communications,Housing,"Catherine Ardagh, Síona Cahill",2,2025-05-01T00:00:00.000000
ALONE,102055,https://www.lobbying.ie/return/102055,Limelight Communications,Health,"Corona Joyce, Mary Butler",2,2023-05-01T00:00:00.000000
ALONE,96464,https://www.lobbying.ie/return/96464,Limelight Communications,Housing,Darragh O'Brien,1,2023-01-01T00:00:00.000000
ALONE,70970,https://www.lobbying.ie/return/70970,Limelight Communications,Health,"Aisling Dolan, Alan Kelly, Anne Rabbitte, Annie Hoey, Catherine Murphy, Charles Flanagan, Cian O'Callaghan, Claire Kerrane, Colm Burke, Darragh O'Brien, David Cullinane, Eamon Ryan, Emer Higgins, Eoin Ó Broin, Eugene Murphy, Frances Black, Francis Noel Duffy, Frank Feighan, Gino Kenny, Heather Humphreys, Jackie Cahill, Joan Collins, Joe Carey, Joe Flaherty, John Cummins, John Lahart, Leo Varadkar, Marc Ó Cathasaigh, Mark Wall, Mark Ward, Martin Conway, Mary Butler, Mary Fitzpatrick, Mary Lou McDonald, Mary Seery Kearney, Michael McGrath, Micheál Martin, Neasa Hourigan, Paddy Burke, Paschal Donohoe, Patricia Ryan, Paul Donnelly, Paul Gavan, Paul McAuliffe, Peter Burke, Rebecca Moynihan, Richard O'Donoghue, Róisín Garvey, Róisín Shorthall, Stephen Donnelly, Thomas Gould, Victor Boyhan, Éamon Ó Cuív",53,2021-01-01T00:00:00.000000
ALONE,59941,https://www.lobbying.ie/return/59941,Limelight Communications,Health,"Anne Rabbitte, Barry Cowen, Dara Calleary, Darragh O'Brien, Heather Humphreys, Hildegarde Naughton, Michael McGrath, Paschal Donohoe, Simon Coveney, Thomas Byrne",10,2020-01-01T00:00:00.000000
AMARENCO SOLAR LIMITED,12326,https://www.lobbying.ie/return/12326,Heneghan PR,Energy and Natural Resources,Denis Naughten,1,2016-09-01T00:00:00.000000
