unique_member_code,first_name,last_name,constituency_name,full_name,party,ministerial_office,year_elected,dail_number,dails_served,is_current
Tony-Kett.S.1997-09-17,Tony,Kett,Administrative Panel,Tony Kett,Fianna Fáil,false,1997,23,"21,22,23",False
Alex-White.S.2007-07-23,Alex,White,Cultural and Educational Panel,Alex White,Labour Party,false,2007,23,"23,31",False
Cecilia-Keaveney.D.1996-04-02,Cecilia,Keaveney,Cultural and Educational Panel,Cecilia Keaveney,Fianna Fáil,false,1996,23,"23,27,28,29",False
Martin-Brady.D.1997-06-26,Martin,Brady,Nominated by the Taoiseach,Martin Brady,Fianna Fáil,false,1997,23,"23,28,29",False
Alan-Kelly.S.2007-07-23,Alan,Kelly,Agricultural Panel,Alan Kelly,Labour Party,false,2007,23,"23,31,32,33,34",False
Larry-Butler.S.2007-07-23,Larry,Butler,Industrial and Commercial Panel,Larry Butler,Fianna Fáil,false,2007,23,23,False
Peter-Callanan.S.1997-09-17,Peter,Callanan,Agricultural Panel,Peter Callanan,Fianna Fáil,false,1997,23,"21,22,23",False
Ivor-Callely.D.1989-06-29,Ivor,Callely,Nominated by the Taoiseach,Ivor Callely,Fianna Fáil,false,1989,23,"23,27,28,29",False
Ciaran-Cannon.S.2007-07-23,Ciarán,Cannon,Nominated by the Taoiseach,Ciarán Cannon,Progressive Democrats,false,2007,23,"23,31,32,33",False
John-Carty.D.2002-06-06,John,Carty,Agricultural Panel,John Carty,Fianna Fáil,false,2002,23,"23,29",False
Donie-Cassidy.S.1982-05-13,Donie,Cassidy,Labour Panel,Donie Cassidy,Fianna Fáil,false,1982,23,"20,21,22,23,29",False
Maria-Corrigan.S.2007-07-23,Maria,Corrigan,Nominated by the Taoiseach,Maria Corrigan,Fianna Fáil,false,2007,23,23,False
Dan-Boyle.D.2002-06-06,Dan,Boyle,Nominated by the Taoiseach,Dan Boyle,Green Party,false,2002,23,"23,29",False
Eoghan-Harris.S.2007-07-23,Eoghan,Harris,Nominated by the Taoiseach,Eoghan Harris,Independent,false,2007,23,23,False
Dominic-Hannigan.S.2007-07-23,Dominic,Hannigan,Industrial and Commercial Panel,Dominic Hannigan,Labour Party,false,2007,23,"23,31",False
John-Gerard-Hanafin.S.2002-09-12,John Gerard,Hanafin,Labour Panel,John Gerard Hanafin,Fianna Fáil,false,2002,23,"22,23",False
Frances-Fitzgerald.D.1992-12-14,Frances,Fitzgerald,Labour Panel,Frances Fitzgerald,Fine Gael,false,1992,23,"23,27,28,31,32",False
Geraldine-Feeney.S.2002-09-12,Geraldine,Feeney,Labour Panel,Geraldine Feeney,Fianna Fáil,false,2002,23,"22,23",False
Camillus-Glynn.S.1997-09-17,Camillus,Glynn,Administrative Panel,Camillus Glynn,Fianna Fáil,false,1997,23,"21,22,23",False
Paschal-Donohoe.S.2007-07-23,Paschal,Donohoe,Administrative Panel,Paschal Donohoe,Fine Gael,false,2007,23,"23,31,32,33,34",False
Pearse-Doherty.S.2007-07-23,Pearse,Doherty,Agricultural Panel,Pearse Doherty,Sinn Féin,false,2007,23,"23,30,31,32,33,34",False
John-Ellis.S.1977-10-27,John,Ellis,Nominated by the Taoiseach,John Ellis,Fianna Fáil,false,1977,23,"23,27,28,29",False
James-Carroll.S.2009-11-26,James,Carroll,Administrative Panel,James Carroll,Fianna Fáil,false,2009,23,23,False
Niall-Ó-Brolcháin.S.2009-12-14,Niall,Ó Brolcháin,Agricultural Panel,Niall Ó Brolcháin,Green Party,false,2009,23,23,False
Mark-Dearey.S.2010-02-23,Mark,Dearey,Nominated by the Taoiseach,Mark Dearey,Green Party,false,2010,23,23,False
Mary-Ann-O'Brien.S.2011-05-25,Mary Ann,O'Brien,Nominated by the Taoiseach,Mary Ann O'Brien,Independent,false,2011,24,24,False
Darragh-O'Brien.D.2007-06-14,Darragh,O'Brien,Labour Panel,Darragh O'Brien,Fianna Fáil,false,2007,24,"23,24,30,32,33,34",False
Martin-McAleese.S.2011-05-25,Martin,McAleese,Nominated by the Taoiseach,Martin McAleese,Independent,false,2011,24,24,False
Tony-Mulcahy.S.2011-05-25,Tony,Mulcahy,Labour Panel,Tony Mulcahy,Fine Gael,false,2011,24,24,False
Mary-Moran.S.2011-05-25,Mary,Moran,Nominated by the Taoiseach,Mary Moran,Labour Party,false,2011,24,24,False
Paschal-Mooney.S.1987-04-25,Paschal,Mooney,Agricultural Panel,Paschal Mooney,Fianna Fáil,false,1987,24,"20,21,22,23,24",False
Marie-Moloney.S.2011-05-25,Marie,Moloney,Labour Panel,Marie Moloney,Labour Party,false,2011,24,24,False
Michael-Mullins.S.2011-05-25,Michael,Mullins,Cultural and Educational Panel,Michael Mullins,Fine Gael,false,2011,24,24,False
Susan-O'Keeffe.S.2011-05-25,Susan,O'Keeffe,Agricultural Panel,Susan O'Keeffe,Labour Party,false,2011,24,24,False
Mary-M-White.S.2002-09-12,Mary M.,White,Industrial and Commercial Panel,Mary M. White,Fianna Fáil,false,2002,24,"22,23,24",False
Averil-Power.S.2011-05-25,Averil,Power,Industrial and Commercial Panel,Averil Power,Fianna Fáil,false,2011,24,24,False
Feargal-Quinn.S.1993-02-17,Feargal,Quinn,National University of Ireland,Feargal Quinn,Independent,false,1993,24,"20,21,22,23,24",False
Kathryn-Reilly.S.2011-05-25,Kathryn,Reilly,Industrial and Commercial Panel,Kathryn Reilly,Sinn Féin,false,2011,24,24,False
Tom-Sheahan.D.2007-06-14,Tom,Sheahan,Administrative Panel,Tom Sheahan,Fine Gael,false,2007,24,"24,30",False
Jim-Walsh.S.1997-09-17,Jim,Walsh,Agricultural Panel,Jim Walsh,Fianna Fáil,false,1997,24,"21,22,23,24",False
John-Whelan.S.2011-05-25,John,Whelan,Labour Panel,John Whelan,Labour Party,false,2011,24,24,False
Katherine-Zappone.S.2011-05-25,Katherine,Zappone,Nominated by the Taoiseach,Katherine Zappone,Independent,false,2011,24,"24,32",False
Jillian-van-Turnhout.S.2011-05-25,Jillian,van Turnhout,Nominated by the Taoiseach,Jillian van Turnhout,Independent,false,2011,24,24,False
Labhrás-Ó-Murchú.S.1997-09-17,Labhrás,Ó Murchú,Cultural and Educational Panel,Labhrás Ó Murchú,Fianna Fáil,false,1997,24,"21,22,23,24",False
Marc-MacSharry.S.2002-09-12,Marc,MacSharry,Industrial and Commercial Panel,Marc MacSharry,Fianna Fáil,false,2002,24,"22,23,24,32,33",False
Pat-O'Neill.S.2011-05-25,Pat,O'Neill,Agricultural Panel,Pat O'Neill,Fine Gael,false,2011,24,24,False
Fiach-Mac-Conghail.S.2011-05-25,Fiach,Mac Conghail,Nominated by the Taoiseach,Fiach Mac Conghail,Independent,false,2011,24,24,False
Sean-D-Barrett.S.2011-05-25,Sean D.,Barrett,University of Dublin,Sean D. Barrett,Independent,false,2011,24,24,False
Paul-Bradford.S.1987-04-25,Paul,Bradford,Agricultural Panel,Paul Bradford,Fine Gael,false,1987,24,"22,23,24,27,28",False
Terry-Brennan.S.2011-05-25,Terry,Brennan,Labour Panel,Terry Brennan,Fine Gael,false,2011,24,24,False
Thomas-Byrne.D.2007-06-14,Thomas,Byrne,Cultural and Educational Panel,Thomas Byrne,Fianna Fáil,false,2007,24,"24,30,32,33,34",False
Eamonn-Coghlan.S.2011-05-25,Eamonn,Coghlan,Nominated by the Taoiseach,Eamonn Coghlan,Independent,false,2011,24,24,False
Michael-Comiskey.S.2011-05-25,Michael,Comiskey,Agricultural Panel,Michael Comiskey,Fine Gael,false,2011,24,24,False
John-Crown.S.2011-05-25,John,Crown,National University of Ireland,John Crown,Independent,false,2011,24,24,False
David-Cullinane.S.2011-05-25,David,Cullinane,Labour Panel,David Cullinane,Sinn Féin,false,2011,24,"24,32,33,34",False
Deirdre-Clune.D.1997-06-26,Deirdre,Clune,Cultural and Educational Panel,Deirdre Clune,Fine Gael,false,1997,24,"24,28,30",False
Jim-D'Arcy.S.2011-05-25,Jim,D'Arcy,Nominated by the Taoiseach,Jim D'Arcy,Fine Gael,false,2011,24,24,False
John-Kelly.S.2011-05-25,John,Kelly,Administrative Panel,John Kelly,Labour Party,false,2011,24,24,False
Maurice-Cummins.S.2002-09-12,Maurice,Cummins,Labour Panel,Maurice Cummins,Fine Gael,false,2002,24,"22,23,24",False
Lorraine-Higgins.S.2011-05-25,Lorraine,Higgins,Nominated by the Taoiseach,Lorraine Higgins,Labour Party,false,2011,24,24,False
Imelda-Henry.S.2011-05-25,Imelda,Henry,Industrial and Commercial Panel,Imelda Henry,Fine Gael,false,2011,24,24,False
James-Heffernan.S.2011-05-25,James,Heffernan,Agricultural Panel,James Heffernan,Labour Party,false,2011,24,24,False
Fidelma-Healy-Eames.S.2007-07-23,Fidelma,Healy Eames,Labour Panel,Fidelma Healy Eames,Fine Gael,false,2007,24,"23,24",False
Aideen-Hayden.S.2011-05-25,Aideen,Hayden,Nominated by the Taoiseach,Aideen Hayden,Labour Party,false,2011,24,24,False
