identifier,first_name,last_name,sitting_days_attendance,other_days_attendance,year,iso_sitting_days_attendance,iso_other_days_attendance
Heneghan_Barry,Barry,Heneghan,,30/01/2026,2026,,2026-01-30
Heneghan_Barry,Barry,Heneghan,,03/02/2026,2026,,2026-02-03
Heneghan_Barry,Barry,Heneghan,,06/02/2026,2026,,2026-02-06
Heneghan_Barry,Barry,Heneghan,,09/02/2026,2026,,2026-02-09
Heneghan_Barry,Barry,Heneghan,,13/02/2026,2026,,2026-02-13
Heneghan_Barry,Barry,Heneghan,,16/02/2026,2026,,2026-02-16
Heneghan_Barry,Barry,Heneghan,,27/02/2026,2026,,2026-02-27
Heneghan_Barry,Barry,Heneghan,,02/03/2026,2026,,2026-03-02
Heneghan_Barry,Barry,Heneghan,,06/03/2026,2026,,2026-03-06
Heneghan_Barry,Barry,Heneghan,,11/03/2026,2026,,2026-03-11
Heneghan_Barry,Barry,Heneghan,,12/03/2026,2026,,2026-03-12
Heneghan_Barry,Barry,Heneghan,,13/03/2026,2026,,2026-03-13
Heneghan_Barry,Barry,Heneghan,,16/03/2026,2026,,2026-03-16
Heneghan_Barry,Barry,Heneghan,,20/03/2026,2026,,2026-03-20
Heneghan_Barry,Barry,Heneghan,,23/03/2026,2026,,2026-03-23
Higgins_Emer,Emer,Higgins,19/01/2023,,2023,2023-01-19,
Higgins_Emer,Emer,Higgins,24/01/2023,,2023,2023-01-24,
Higgins_Emer,Emer,Higgins,25/01/2023,,2023,2023-01-25,
Higgins_Emer,Emer,Higgins,26/01/2023,,2023,2023-01-26,
Higgins_Emer,Emer,Higgins,31/01/2023,,2023,2023-01-31,
Higgins_Emer,Emer,Higgins,01/02/2023,,2023,2023-02-01,
Higgins_Emer,Emer,Higgins,02/02/2023,,2023,2023-02-02,
Higgins_Emer,Emer,Higgins,08/02/2023,,2023,2023-02-08,
Higgins_Emer,Emer,Higgins,14/02/2023,,2023,2023-02-14,
Higgins_Emer,Emer,Higgins,16/02/2023,,2023,2023-02-16,
Higgins_Emer,Emer,Higgins,21/02/2023,,2023,2023-02-21,
Higgins_Emer,Emer,Higgins,22/02/2023,,2023,2023-02-22,
Higgins_Emer,Emer,Higgins,23/02/2023,,2023,2023-02-23,
Higgins_Emer,Emer,Higgins,28/02/2023,,2023,2023-02-28,
Higgins_Emer,Emer,Higgins,01/03/2023,,2023,2023-03-01,
Higgins_Emer,Emer,Higgins,02/03/2023,,2023,2023-03-02,
Higgins_Emer,Emer,Higgins,07/03/2023,,2023,2023-03-07,
Higgins_Emer,Emer,Higgins,08/03/2023,,2023,2023-03-08,
Higgins_Emer,Emer,Higgins,09/03/2023,,2023,2023-03-09,
Higgins_Emer,Emer,Higgins,21/03/2023,,2023,2023-03-21,
Higgins_Emer,Emer,Higgins,22/03/2023,,2023,2023-03-22,
Higgins_Emer,Emer,Higgins,23/03/2023,,2023,2023-03-23,
Higgins_Emer,Emer,Higgins,28/03/2023,,2023,2023-03-28,
Higgins_Emer,Emer,Higgins,29/03/2023,,2023,2023-03-29,
Higgins_Emer,Emer,Higgins,30/03/2023,,2023,2023-03-30,
Higgins_Emer,Emer,Higgins,13/04/2023,,2023,2023-04-13,
Higgins_Emer,Emer,Higgins,18/04/2023,,2023,2023-04-18,
Higgins_Emer,Emer,Higgins,19/04/2023,,2023,2023-04-19,
Higgins_Emer,Emer,Higgins,20/04/2023,,2023,2023-04-20,
Higgins_Emer,Emer,Higgins,25/04/2023,,2023,2023-04-25,
Higgins_Emer,Emer,Higgins,26/04/2023,,2023,2023-04-26,
Higgins_Emer,Emer,Higgins,27/04/2023,,2023,2023-04-27,
Higgins_Emer,Emer,Higgins,03/05/2023,,2023,2023-05-03,
Higgins_Emer,Emer,Higgins,04/05/2023,,2023,2023-05-04,
Higgins_Emer,Emer,Higgins,09/05/2023,,2023,2023-05-09,
Higgins_Emer,Emer,Higgins,10/05/2023,,2023,2023-05-10,
Higgins_Emer,Emer,Higgins,11/05/2023,,2023,2023-05-11,
Higgins_Emer,Emer,Higgins,16/05/2023,,2023,2023-05-16,
Higgins_Emer,Emer,Higgins,17/05/2023,,2023,2023-05-17,
Higgins_Emer,Emer,Higgins,23/05/2023,,2023,2023-05-23,
Higgins_Emer,Emer,Higgins,24/05/2023,,2023,2023-05-24,
Higgins_Emer,Emer,Higgins,25/05/2023,,2023,2023-05-25,
Higgins_Emer,Emer,Higgins,30/05/2023,,2023,2023-05-30,
Higgins_Emer,Emer,Higgins,31/05/2023,,2023,2023-05-31,
Higgins_Emer,Emer,Higgins,13/06/2023,,2023,2023-06-13,
Higgins_Emer,Emer,Higgins,14/06/2023,,2023,2023-06-14,
