local_authority,lea,name,party,status,source
Fingal,Rush – Lusk,Corina Johnston,Labour,sitting,Fingal County Council
Fingal,Rush – Lusk,Cathal Boland,Independent,sitting,Fingal County Council
Fingal,Rush – Lusk,Eoghan Dockrell,Fine Gael,sitting,Fingal County Council
Fingal,Rush – Lusk,Paul Mulville,Social Democrats,sitting,Fingal County Council
Fingal,Swords,Darragh Butler,Fianna Fáil,sitting,Fingal County Council
Fingal,Swords,Luke Corkery,Fine Gael,sitting,Fingal County Council
Fingal,Swords,Joe Newman,Independent,sitting,Fingal County Council
Fingal,Swords,James Humphreys,Labour,sitting,Fingal County Council
Fingal,,Marian Buckley,Sinn Féin,sitting,Fingal County Council
Fingal,,Ruth Coppinger,PBP–Solidarity,sitting,Fingal County Council
Fingal,,Robert O'Donoghue,Labour,sitting,Fingal County Council
Fingal,,Ann Graves,Sinn Féin,sitting,Fingal County Council
Fingal,,Kevin Humphreys,Labour,sitting,Fingal County Council
Fingal,,Darren Jack Kelly,Independent,sitting,Fingal County Council
Fingal,,Dean Mulligan,Independent,sitting,Fingal County Council
Galway City,Galway City Central,Mike Cubbard,Independent,sitting,Galway City Council
Galway City,Galway City Central,Eddie Hoare,Fine Gael,sitting,Galway City Council
Galway City,Galway City Central,Frank Fahy,Fine Gael,sitting,Galway City Council
Galway City,Galway City Central,Josie Forde,Fianna Fáil,sitting,Galway City Council
Galway City,Galway City Central,John McDonagh,Labour,sitting,Galway City Council
Galway City,,Galway City Central,Social Democrats,sitting,Galway City Council
Galway City,Galway City East,Alan Cheevers,Fianna Fáil,sitting,Galway City Council
Galway City,Galway City East,Declan McDonnell,Independent,sitting,Galway City Council
Galway City,Galway City East,Terry O'Flaherty,Independent,sitting,Galway City Council
Galway City,Galway City East,Shane Forde,Fine Gael,sitting,Galway City Council
Galway City,Galway City East,Aisling Burke,Sinn Féin,sitting,Galway City Council
Galway City,Galway City East,Helen Ogbu,Labour,sitting,Galway City Council
Galway City,Galway City West,Donal Lyons,Independent,sitting,Galway City Council
Galway City,Galway City West,Clodagh Higgins,Fine Gael,sitting,Galway City Council
Galway City,Galway City West,Alan Curran,Social Democrats,sitting,Galway City Council
Galway City,,Galway City West,Fianna Fáil,sitting,Galway City Council
Galway City,Galway City West,Peter Keane,Fianna Fáil,sitting,Galway City Council
Galway City,Galway City West,Níall McNelis,Labour,sitting,Galway City Council
Galway City,,John Connolly,Fianna Fáil,sitting,Galway City Council
Galway County,Athenry – Oranmore,Tomás Grealish,Independent,sitting,Galway County Council
Galway County,Athenry – Oranmore,David Collins,Fine Gael,sitting,Galway County Council
Galway County,Athenry – Oranmore,Peter Feeney,Fine Gael,sitting,Galway County Council
Galway County,Athenry – Oranmore,Cillian Keane,Fianna Fáil,sitting,Galway County Council
