local_authority,meeting,doc_type,power_class,power_type,n_hits,source_status
Wexford,Council-Meeting-Minutes-28.03.2022.pdf,plenary_minutes,reserved_veto_part8,reserved,1,text
Wexford,Minutes_June_Meeting_Wexford_County_Council_08_06_26.pdf,plenary_minutes,reserved_veto_s183,reserved,3,text
Wexford,Minutes_June_Meeting_Wexford_County_Council_08_06_26.pdf,plenary_minutes,reserved_veto_part8,reserved,4,text
Wexford,Minutes_June_Meeting_Wexford_County_Council_08_06_26.pdf,plenary_minutes,exec_noted_annual,executive,1,text
Wexford,County_Council_Meeting_14_04_25_Minutes.pdf,plenary_minutes,reserved_veto_s183,reserved,6,text
Wexford,County_Council_Meeting_14_04_25_Minutes.pdf,plenary_minutes,reserved_veto_part8,reserved,2,text
Wexford,County_Council_Meeting_10_03_25_Minutes.pdf,plenary_minutes,reserved_veto_s183,reserved,2,text
Wexford,County_Council_Meeting_10_02_25_Minutes_0.pdf,plenary_minutes,reserved_veto_s183,reserved,4,text
Wexford,County_Council_Meeting_10_02_25_Minutes_0.pdf,plenary_minutes,reserved_super_matcontra,reserved,2,text
Wexford,County_Council_Meeting_10_02_25_Minutes_0.pdf,plenary_minutes,exec_noted_annual,executive,2,text
Wexford,County_Council_Meeting_09_12_24_Minutes.pdf,plenary_minutes,reserved_real_budget,reserved,2,text
Wexford,County_Council_Meeting_09_12_24_Minutes.pdf,plenary_minutes,reserved_real_lpt,reserved,1,text
Wexford,County_Council_Meeting_09_12_24_Minutes.pdf,plenary_minutes,reserved_veto_s183,reserved,4,text
Wexford,Statutory_Budget_Meeting_25_11_24_Minutes.pdf,plenary_minutes,reserved_real_budget,reserved,7,text
Wexford,Statutory_Budget_Meeting_25_11_24_Minutes.pdf,plenary_minutes,reserved_real_lpt,reserved,2,text
Wexford,Statutory_Budget_Meeting_25_11_24_Minutes.pdf,plenary_minutes,reserved_real_rates,reserved,5,text
Wexford,County_Council_Meeting_11_11_24_Minutes.pdf,plenary_minutes,reserved_real_lpt,reserved,3,text
Wexford,County_Council_Meeting_11_11_24_Minutes.pdf,plenary_minutes,reserved_veto_s183,reserved,6,text
Wexford,County_Council_Meeting_11_11_24_Minutes.pdf,plenary_minutes,reserved_veto_part8,reserved,2,text
Wexford,County_Council_Meeting_14_10_24_Minutes.pdf,plenary_minutes,reserved_real_lpt,reserved,4,text
Wexford,County_Council_Meeting_14_10_24_Minutes.pdf,plenary_minutes,reserved_veto_s183,reserved,6,text
Wexford,County_Council_20240909_%20Amended_Minutes.pdf,plenary_minutes,reserved_real_budget,reserved,2,text
Wexford,County_Council_20240909_%20Amended_Minutes.pdf,plenary_minutes,reserved_real_lpt,reserved,7,text
Wexford,County_Council_20240909_%20Amended_Minutes.pdf,plenary_minutes,reserved_veto_s183,reserved,7,text
Wexford,County_Council_20240909_%20Amended_Minutes.pdf,plenary_minutes,reserved_veto_part8,reserved,4,text
Wexford,County_Council%20_Meeting_Minutes_090924.pdf,plenary_minutes,reserved_real_budget,reserved,2,text
Wexford,County_Council%20_Meeting_Minutes_090924.pdf,plenary_minutes,reserved_real_lpt,reserved,7,text
Wexford,County_Council%20_Meeting_Minutes_090924.pdf,plenary_minutes,reserved_veto_s183,reserved,7,text
Wexford,County_Council%20_Meeting_Minutes_090924.pdf,plenary_minutes,reserved_veto_part8,reserved,4,text
Wexford,County_Council_Meeting_Mins_2024_07_08.pdf,plenary_minutes,reserved_veto_s183,reserved,7,text
